# 回放 65 个快照 · workload=pytorch · stall_sec=900s

## 修复前（CPU 占用直接算进展票，无 GPU 信号）
      时刻       状态    置信   GPU     CPU  ckpt  票型
22:57:32  UNKNOWN   0.0    0%   None%     0  log=False,file=False,resource=None
22:57:53  RUNNING   0.9    0%   84.3%     3  log=True,file=True,resource=True
22:58:14  RUNNING   0.7    0%  100.1%     3  log=False,file=False,resource=True
22:58:35  RUNNING   0.7    0%   99.9%     3  log=False,file=False,resource=True
22:58:56  RUNNING   0.7    0%   99.9%     3  log=False,file=False,resource=True
22:59:17  RUNNING   0.7    0%   99.8%     3  log=False,file=False,resource=True
22:59:38  RUNNING   0.7    0%   99.7%     3  log=False,file=False,resource=True
22:59:59  RUNNING   0.7    0%   99.8%     3  log=False,file=False,resource=True
23:00:20  RUNNING   0.7    0%   99.8%     3  log=False,file=False,resource=True
23:00:41  RUNNING   0.7    0%   99.9%     3  log=False,file=False,resource=True
23:01:02  RUNNING   0.7    0%   99.7%     3  log=False,file=False,resource=True
23:01:23  RUNNING   0.7    0%   99.8%     3  log=False,file=False,resource=True
23:01:44  RUNNING   0.7    0%   99.9%     3  log=False,file=False,resource=True
23:02:05  RUNNING   0.7    0%   99.9%     3  log=False,file=False,resource=True
23:02:26  RUNNING   0.7    0%   99.8%     3  log=False,file=False,resource=True
23:02:47  RUNNING   0.7    0%   99.8%     3  log=False,file=False,resource=True
23:03:08  RUNNING   0.7    0%   99.7%     3  log=False,file=False,resource=True
23:03:30  RUNNING   0.7    0%  100.1%     3  log=False,file=False,resource=True
23:03:51  RUNNING   0.7    0%   99.7%     3  log=False,file=False,resource=True
23:04:12  RUNNING   0.7    0%   99.8%     3  log=False,file=False,resource=True
23:04:33  RUNNING   0.7    0%   99.7%     3  log=False,file=False,resource=True
23:04:54  RUNNING   0.7    0%   99.6%     3  log=False,file=False,resource=True
23:05:15  RUNNING   0.7    0%   99.5%     3  log=False,file=False,resource=True
23:05:36  RUNNING   0.7    0%   99.6%     3  log=False,file=False,resource=True
23:05:57  RUNNING   0.7    0%   99.7%     3  log=False,file=False,resource=True
23:06:18  RUNNING   0.7    0%   99.8%     3  log=False,file=False,resource=True
23:06:39  RUNNING   0.7    0%  100.1%     3  log=False,file=False,resource=True
23:07:00  RUNNING   0.7    0%   99.7%     3  log=False,file=False,resource=True
23:07:21  RUNNING   0.7    0%   99.9%     3  log=False,file=False,resource=True
23:07:42  RUNNING   0.7    0%   99.8%     3  log=False,file=False,resource=True
23:08:03  RUNNING   0.7    0%   99.7%     3  log=False,file=False,resource=True
23:08:24  RUNNING   0.7    0%   99.7%     3  log=False,file=False,resource=True
23:08:45  RUNNING   0.7    0%   99.9%     3  log=False,file=False,resource=True
23:09:06  RUNNING   0.7    0%   99.4%     3  log=False,file=False,resource=True
23:09:27  RUNNING   0.7    0%   99.9%     3  log=False,file=False,resource=True
23:09:48  RUNNING   0.7    0%   99.9%     3  log=False,file=False,resource=True
23:10:09  RUNNING   0.7    0%   99.5%     3  log=False,file=False,resource=True
23:10:30  RUNNING   0.7    0%   99.8%     3  log=False,file=False,resource=True
23:10:51  RUNNING   0.7    0%   99.5%     3  log=False,file=False,resource=True
23:11:12  RUNNING   0.7    0%   99.8%     3  log=False,file=False,resource=True
23:11:33  RUNNING   0.7    0%  100.0%     3  log=False,file=False,resource=True
23:11:54  RUNNING   0.7    0%   99.8%     3  log=False,file=False,resource=True
23:12:15  RUNNING   0.7    0%   99.9%     3  log=False,file=False,resource=True
23:12:36  RUNNING   0.7    0%   99.9%     3  log=False,file=False,resource=True
23:12:58  RUNNING   0.7    0%   99.9%     3  log=False,file=False,resource=True
23:13:18  RUNNING   0.7    0%   99.9%     3  log=False,file=False,resource=True
23:13:40  RUNNING   0.7    0%   99.8%     3  log=False,file=False,resource=True
23:14:01  RUNNING   0.7    0%   99.7%     3  log=False,file=False,resource=True
23:14:22  RUNNING   0.7    0%   99.9%     3  log=False,file=False,resource=True
23:14:43  RUNNING   0.7    0%   99.4%     3  log=False,file=False,resource=True
23:15:04  RUNNING   0.7    0%   99.9%     3  log=False,file=False,resource=True
23:15:25  RUNNING   0.7    0%   99.9%     3  log=False,file=False,resource=True
23:15:46  RUNNING   0.7    0%  100.1%     3  log=False,file=False,resource=True
23:16:07  RUNNING   0.7    0%   99.9%     3  log=False,file=False,resource=True
23:16:28  RUNNING   0.7    0%   99.6%     3  log=False,file=False,resource=True
23:16:49  RUNNING   0.7    0%   99.7%     3  log=False,file=False,resource=True
23:17:10  RUNNING   0.7    0%   99.6%     3  log=False,file=False,resource=True
23:17:31  RUNNING   0.7    0%   99.7%     3  log=False,file=False,resource=True
23:17:52  RUNNING   0.5    0% -5693.9%     3  log=False,file=False,resource=False
23:18:13  RUNNING   0.5    0%    0.1%     3  log=False,file=False,resource=False
23:18:34  RUNNING   0.5    0%    0.1%     3  log=False,file=False,resource=False
23:18:56  RUNNING   0.5    0%    0.0%     3  log=False,file=False,resource=False
23:19:16  RUNNING   0.5    0%    0.0%     3  log=False,file=False,resource=False
23:19:37  RUNNING   0.5    0%    0.1%     3  log=False,file=False,resource=False
23:19:58  RUNNING   0.5    0%    0.1%     3  log=False,file=False,resource=False
→ **全程未判定卡死（漏报）** —— 卡死已持续 1329s，判定始终为 RUNNING

## 修复后（GPU 型 workload 上 CPU 忙+GPU 闲不算进展）
      时刻       状态    置信   GPU     CPU  ckpt  票型
22:57:32  UNKNOWN   0.0    0%   None%     0  log=False,file=False,resource=None,gpu=False
22:57:53  RUNNING   0.8    0%   84.3%     3  log=True,file=True,resource=False,gpu=False
22:58:14  RUNNING  0.55    0%  100.1%     3  log=False,file=False,resource=False,gpu=False
22:58:35  RUNNING  0.55    0%   99.9%     3  log=False,file=False,resource=False,gpu=False
22:58:56  RUNNING  0.55    0%   99.9%     3  log=False,file=False,resource=False,gpu=False
22:59:17  RUNNING  0.55    0%   99.8%     3  log=False,file=False,resource=False,gpu=False
22:59:38  RUNNING  0.55    0%   99.7%     3  log=False,file=False,resource=False,gpu=False
22:59:59  RUNNING  0.55    0%   99.8%     3  log=False,file=False,resource=False,gpu=False
23:00:20  RUNNING  0.55    0%   99.8%     3  log=False,file=False,resource=False,gpu=False
23:00:41  RUNNING  0.55    0%   99.9%     3  log=False,file=False,resource=False,gpu=False
23:01:02  RUNNING  0.55    0%   99.7%     3  log=False,file=False,resource=False,gpu=False
23:01:23  RUNNING  0.55    0%   99.8%     3  log=False,file=False,resource=False,gpu=False
23:01:44  RUNNING  0.55    0%   99.9%     3  log=False,file=False,resource=False,gpu=False
23:02:05  RUNNING  0.55    0%   99.9%     3  log=False,file=False,resource=False,gpu=False
23:02:26  RUNNING  0.55    0%   99.8%     3  log=False,file=False,resource=False,gpu=False
23:02:47  RUNNING  0.55    0%   99.8%     3  log=False,file=False,resource=False,gpu=False
23:03:08  RUNNING  0.55    0%   99.7%     3  log=False,file=False,resource=False,gpu=False
23:03:30  RUNNING  0.55    0%  100.1%     3  log=False,file=False,resource=False,gpu=False
23:03:51  RUNNING  0.55    0%   99.7%     3  log=False,file=False,resource=False,gpu=False
