# 回放 63 个快照 · workload=pytorch · stall_sec=900s

## 修复前（CPU 占用直接算进展票，无 GPU 信号）
      时刻       状态    置信   GPU     CPU  ckpt  票型
23:23:09  UNKNOWN   0.0    0%   None%     0  log=False,file=False,resource=None
23:23:20  RUNNING   0.8   87%   98.0%     0  log=True,file=False,resource=True
23:23:31  RUNNING   0.9   88%   82.2%     2  log=True,file=True,resource=True
23:23:42  RUNNING   0.9   87%   82.4%     4  log=True,file=True,resource=True
23:23:53  RUNNING   0.9    0%   83.0%     6  log=True,file=True,resource=True
23:24:05  RUNNING   0.9    0%   83.3%     8  log=True,file=True,resource=True
23:24:16  RUNNING   0.9   13%   85.8%    10  log=True,file=True,resource=True
23:24:27  RUNNING   0.9    0%   93.3%    10  log=True,file=True,resource=True
23:24:38  RUNNING   0.7    0%   99.9%    10  log=False,file=False,resource=True
23:24:49  RUNNING   0.7    0%  100.1%    10  log=False,file=False,resource=True
23:25:00  RUNNING   0.7    0%   99.6%    10  log=False,file=False,resource=True
23:25:11  RUNNING   0.7    0%   99.9%    10  log=False,file=False,resource=True
23:25:22  RUNNING   0.7    0%   99.8%    10  log=False,file=False,resource=True
23:25:33  RUNNING   0.7    0%   99.6%    10  log=False,file=False,resource=True
23:25:44  RUNNING   0.7    0%   99.6%    10  log=False,file=False,resource=True
23:25:55  RUNNING   0.7    0%   99.8%    10  log=False,file=False,resource=True
23:26:06  RUNNING   0.7    0%   99.8%    10  log=False,file=False,resource=True
23:26:17  RUNNING   0.7    0%   99.8%    10  log=False,file=False,resource=True
23:26:28  RUNNING   0.7    0%   99.7%    10  log=False,file=False,resource=True
23:26:39  RUNNING   0.7    0%  100.1%    10  log=False,file=False,resource=True
23:26:50  RUNNING   0.7    0%  100.1%    10  log=False,file=False,resource=True
23:27:01  RUNNING   0.7    0%   99.6%    10  log=False,file=False,resource=True
23:27:12  RUNNING   0.7    0%   99.4%    10  log=False,file=False,resource=True
23:27:23  RUNNING   0.7    0%   99.9%    10  log=False,file=False,resource=True
23:27:34  RUNNING   0.7    0%   99.6%    10  log=False,file=False,resource=True
23:27:45  RUNNING   0.7    0%   99.9%    10  log=False,file=False,resource=True
23:27:56  RUNNING   0.7    0%   99.6%    10  log=False,file=False,resource=True
23:28:07  RUNNING   0.7    0%   99.8%    10  log=False,file=False,resource=True
23:28:18  RUNNING   0.7    0%   99.5%    10  log=False,file=False,resource=True
23:28:29  RUNNING   0.7    0%   99.9%    10  log=False,file=False,resource=True
23:28:40  RUNNING   0.7    0%   99.7%    10  log=False,file=False,resource=True
23:28:51  RUNNING   0.7    0%   99.7%    10  log=False,file=False,resource=True
23:29:02  RUNNING   0.7    0%   99.8%    10  log=False,file=False,resource=True
23:29:13  RUNNING   0.7    0%  100.1%    10  log=False,file=False,resource=True
23:29:24  RUNNING   0.7    0%   99.9%    10  log=False,file=False,resource=True
23:29:35  RUNNING   0.7    0%   99.9%    10  log=False,file=False,resource=True
23:29:46  RUNNING   0.7    0%  100.0%    10  log=False,file=False,resource=True
23:29:57  RUNNING   0.7    0%   99.8%    10  log=False,file=False,resource=True
23:30:08  RUNNING   0.7    0%   99.7%    10  log=False,file=False,resource=True
23:30:19  RUNNING   0.7    0%  100.0%    10  log=False,file=False,resource=True
23:30:30  RUNNING   0.7    0%   99.8%    10  log=False,file=False,resource=True
23:30:41  RUNNING   0.7    0%  100.0%    10  log=False,file=False,resource=True
23:30:52  RUNNING   0.7    0%   99.1%    10  log=False,file=False,resource=True
23:31:03  RUNNING   0.7    0%  100.0%    10  log=False,file=False,resource=True
23:31:14  RUNNING   0.7    0%   99.9%    10  log=False,file=False,resource=True
23:31:25  RUNNING   0.7    0%   99.4%    10  log=False,file=False,resource=True
23:31:36  RUNNING   0.7    0%   99.7%    10  log=False,file=False,resource=True
23:31:47  RUNNING   0.7    0%   99.6%    10  log=False,file=False,resource=True
23:31:58  RUNNING   0.7    0%  100.1%    10  log=False,file=False,resource=True
23:32:09  RUNNING   0.7    0%   99.5%    10  log=False,file=False,resource=True
23:32:20  RUNNING   0.7    0%   99.3%    10  log=False,file=False,resource=True
23:32:31  RUNNING   0.7    0%   99.8%    10  log=False,file=False,resource=True
23:32:42  RUNNING   0.7    0%   99.5%    10  log=False,file=False,resource=True
23:32:53  RUNNING   0.7    0%   99.7%    10  log=False,file=False,resource=True
23:33:04  RUNNING   0.7    0%   99.8%    10  log=False,file=False,resource=True
23:33:15  RUNNING   0.7    0%   99.7%    10  log=False,file=False,resource=True
